HPV1 Mupapillomavirus_1 HPV1REF "Clad_et_al._1982" V01116  Revised
HPV2 Alphapapillomavirus_4 HPV2REF "Hirsch-Behnam_et_al._1990" X55964 NC_001352 
HPV3 Alphapapillomavirus_2 HPV3REF "Delius_and_Hofmann_1994" X74462  
HPV4 Gammapapillomavirus_1 HPV4REF "Egawa_et_al._1993" X70827 NC_001457 
HPV5 Betapapillomavirus_1 HPV5REF "Zachow_et_al._1987" M17463  Revised
HPV6 Alphapapillomavirus_10 HPV6REF "Schwarz_et_al._1983" X00203  Revised
HPV7 Alphapapillomavirus_8 HPV7REF "Delius_and_Hofmann_1994" X74463 NC_001595 
HPV8 Betapapillomavirus_1 HPV8REF "Fuchs_et_al._1986" M12737  
HPV9 Betapapillomavirus_2 HPV9REF "Delius_and_Hofmann_1994" X74464 NC_001596 
HPV10 Alphapapillomavirus_2 HPV10REF "Delius_and_Hofmann_1994" X74465 NC_001576 
HPV11 Alphapapillomavirus_10 HPV11REF "Dartmann_et_al._1986" M14119  
HPV12 Betapapillomavirus_1 HPV12REF "Delius_and_Hofmann_1994" X74466  
HPV13 Alphapapillomavirus_10 HPV13REF "Van_Ranst_et_al._1992" X62843  
HPV14 Betapapillomavirus_1 HPV14REF "Delius_and_Hofmann_1994" X74467  Revised
HPV15 Betapapillomavirus_2 HPV15REF "Delius_and_Hofmann_1994" X74468  Revised
HPV16 Alphapapillomavirus_9 HPV16REF "Seedorf_et_al._1985" K02718  Revised
HPV17 Betapapillomavirus_2 HPV17REF "Delius_and_Hofmann_1994" X74469  Revised
HPV18 Alphapapillomavirus_7 HPV18REF "Cole_and_Danos_1987" X05015  Revised
HPV19 Betapapillomavirus_1 HPV19REF "Delius_and_Hofmann_1994" X74470  
HPV20 Betapapillomavirus_1 HPV20REF "Delius_Unpublished" U31778  
HPV21 Betapapillomavirus_1 HPV21REF "Delius_Unpublished" U31779  
HPV22 Betapapillomavirus_2 HPV22REF "Delius_Unpublished" U31780  
HPV23 Betapapillomavirus_2 HPV23REF "Delius_Unpublished" U31781  
HPV24 Betapapillomavirus_1 HPV24REF "Kremsdorf_et_al._1984" U31782  
HPV25 Betapapillomavirus_1 HPV25REF "Delius_and_Hofmann_1994" X74471  
HPV26 Alphapapillomavirus_5 HPV26REF "Delius_and_Hofmann_1994" X74472 NC_001583 
HPV27 Alphapapillomavirus_4 HPV27REF "Delius_and_Hofmann_1994" X74473  
HPV28 Alphapapillomavirus_2 HPV28REF "Delius_Unpublished" U31783  
HPV29 Alphapapillomavirus_2 HPV29REF "Delius_Unpublished" U31784  
HPV30 Alphapapillomavirus_6 HPV30REF "Delius_and_Hofmann_1994" X74474  
HPV31 Alphapapillomavirus_9 HPV31REF "Goldsborough_et_al._1989" J04353  
HPV32 Alphapapillomavirus_1 HPV32REF "Delius_and_Hofmann_1994" X74475 NC_001586 
HPV33 Alphapapillomavirus_9 HPV33REF "Cole_and_Streeck_1986" M12732  
HPV34 Alphapapillomavirus_11 HPV34REF "Delius_and_Hofmann_1994" X74476 NC_001587 
HPV35 Alphapapillomavirus_9 HPV35REF "Delius_and_Hofmann_1994" X74477  
HPV36 Betapapillomavirus_1 HPV36REF "Delius_Unpublished" U31785  
HPV37 Betapapillomavirus_2 HPV37REF "Delius_Unpublished" U31786  
HPV38 Betapapillomavirus_2 HPV38REF "Delius_Unpublished" U31787  
HPV39 Alphapapillomavirus_7 HPV39REF "Volpers_and_Streeck_1991" M62849  
HPV40 Alphapapillomavirus_8 HPV40REF "Delius_and_Hofmann_1994" X74478  
HPV41 Nupapillomavirus_1 HPV41REF "Hirt_et_al._1991" X56147 NC_001354 
HPV42 Alphapapillomavirus_1 HPV42REF "Philipp_et_al._1992" M73236  
HPV43 Alphapapillomavirus_8 HPV43REF "Lorincz_et_al._1989" AJ620205  
HPV44 Alphapapillomavirus_10 HPV44REF "Delius_Unpublished" U31788  
HPV45 Alphapapillomavirus_7 HPV45REF "Delius_and_Hofmann_1994" X74479  
HPV46  original_HPV46_is_HPV20_subtype    
HPV47 Betapapillomavirus_1 HPV47REF "Kiyono_et_al._1990" M32305  
HPV48 Gammapapillomavirus_2 HPV48REF "Muller_et_al._1989" U31789 NC_001690 
HPV49 Betapapillomavirus_3 HPV49REF "Delius_and_Hofmann_1994" X74480 NC_001591 
HPV50 Gammapapillomavirus_3 HPV50REF "Favre_et_al._1989" U31790 NC_001691 
HPV51 Alphapapillomavirus_5 HPV51REF "Lungu_et_al._1991" M62877  
HPV52 Alphapapillomavirus_9 HPV52REF "Delius_and_Hofmann_1994" X74481  
HPV53 Alphapapillomavirus_6 HPV53REF "Delius_and_Hofmann_1994" X74482 NC_001593 Revised
HPV54 Alphapapillomavirus_13 HPV54REF "Delius_Unpublished" U37488 NC_001676 
HPV55  original_HPV55_is_HPV44_subtype    
HPV56 Alphapapillomavirus_6 HPV56REF "Delius_and_Hofmann_1994" X74483  Revised
HPV57 Alphapapillomavirus_4 HPV57REF "Hirsch-Behnam_et_al._1990" X55965  
HPV58 Alphapapillomavirus_9 HPV58REF "Kirii_et_al._1991" D90400  
HPV59 Alphapapillomavirus_7 HPV59REF "Rho_et_al._1994" X77858  Revised
HPV60 Gammapapillomavirus_4 HPV60REF "Matsukura_et_al._1992" U31792 NC_001693 
HPV61 Alphapapillomavirus_3 HPV61REF "Delius_Unpublished" U31793 NC_001694 
HPV62 Alphapapillomavirus_3 HPV62REF "Fu_et_al._2004" AY395706  
HPV63 Mupapillomavirus_2 HPV63REF "Egawa_et_al._1993" X70828 NC_001458 
HPV64  original_HPV64_is_HPV34_subtype    
HPV65 Gammapapillomavirus_1 HPV65REF "Egawa_et_al._1993" X70829  
HPV66 Alphapapillomavirus_6 HPV66REF "Delius_Unpublished" U31794  
HPV67 Alphapapillomavirus_9 HPV67REF "Kirii_and_Matsukura_1998" D21208  
HPV68 Alphapapillomavirus_7 HPV68REF "Narechania_et_al._2005" DQ080079  
HPV69 Alphapapillomavirus_5 HPV69REF "Kino_et_al._2000" AB027020  
HPV70 Alphapapillomavirus_7 HPV70REF "Forslund_and_Hansson_1996" U21941  
HPV71 Alphapapillomavirus_14 HPV71REF "Matsukura_and_Sugase_2001" AB040456  Revised
HPV72 Alphapapillomavirus_3 HPV72REF "Volter_et_al._1996" X94164  Revised
HPV73 Alphapapillomavirus_11 HPV73REF "Volter_et_al._1996" X94165  
HPV74 Alphapapillomavirus_10 HPV74REF "Terai_and_Burk_Unpublished" AF436130  
HPV75 Betapapillomavirus_3 HPV75REF "Delius_et_al._1998" Y15173  
HPV76 Betapapillomavirus_3 HPV76REF "Delius_et_al._1998" Y15174  
HPV77 Alphapapillomavirus_2 HPV77REF "Delius_et_al._1998" Y15175  
HPV78 Alphapapillomavirus_2 HPV78REF "Silling_et_al._Unpublished" KC138720  
HPV79      
HPV80 Betapapillomavirus_2 HPV80REF "Delius_et_al._1998" Y15176  
HPV81 Alphapapillomavirus_3 HPV81REF "Matsukura_and_Sugase_2001" AJ620209  
HPV82 Alphapapillomavirus_5 HPV82REF "Kino_et_al._2000" AB027021  Revised
HPV83 Alphapapillomavirus_3 HPV83REF "Brown_et_al._1999" AF151983  
HPV84 Alphapapillomavirus_3 HPV84REF "Terai_and_Burk_2001" AF293960  
HPV85 Alphapapillomavirus_7 HPV85REF "Chow_and_Leong_1999" AF131950  
HPV86 Alphapapillomavirus_3 HPV86REF "Terai_and_Burk_2001" AF349909  
HPV87 Alphapapillomavirus_3 HPV87REF "Menzo_et_al._2001" AJ400628  Revised
HPV88 Gammapapillomavirus_5 HPV88REF "Kullander_et_al._2008" EF467176 NC_010329 
HPV89 Alphapapillomavirus_3 HPV89REF "Terai_and_Burk_2002" AF436128  
HPV90 Alphapapillomavirus_14 HPV90REF "Terai_and_Burk_2002" AY057438 NC_004104 
HPV91 Alphapapillomavirus_8 HPV91REF "Terai_and_Burk_2002" AF419318  
HPV92 Betapapillomavirus_4 HPV92REF "Forslund_et_al._2003" AF531420 NC_004500 
HPV93 Betapapillomavirus_1 HPV93REF "Vasiljevic_et_al._2007" AY382778  
HPV94 Alphapapillomavirus_2 HPV94REF "de_Villiers_et_al._1997" AJ620211  
HPV95 Gammapapillomavirus_1 HPV95REF "Egawa_et_al._Unpublished" AJ620210  
HPV96 Betapapillomavirus_5 HPV96REF "Vasiljevic_et_al._2007" AY382779 NC_005134 
HPV97 Alphapapillomavirus_7 HPV97REF "Chen_and_Burk_Unpublished" DQ080080  
HPV98 Betapapillomavirus_1 HPV98REF "de_Villiers_et_al._2009" FM955837  
HPV99 Betapapillomavirus_1 HPV99REF "de_Villiers_et_al._2009" FM955838  
HPV100 Betapapillomavirus_2 HPV100REF "de_Villiers_et_al._2009" FM955839  
HPV101 Gammapapillomavirus_6 HPV101REF "Chen_et_al._2007" DQ080081 NC_008189 
HPV102 Alphapapillomavirus_3 HPV102REF "Narechania_et_al._2005" DQ080083  
HPV103 Gammapapillomavirus_6 HPV103REF "Chen_et_al._2007" DQ080078 NC_008188 
HPV104 Betapapillomavirus_2 HPV104REF "de_Villiers_et_al._2009" FM955840  
HPV105 Betapapillomavirus_1 HPV105REF "de_Villiers_et_al._2009" FM955841  
HPV106 Alphapapillomavirus_14 HPV106REF "Narechania_et_al._2005" DQ080082  
HPV107 Betapapillomavirus_2 HPV107REF "Vasiljevic_et_al._2008" EF422221  
HPV108 Gammapapillomavirus_6 HPV108REF "Nobre_et_al._pres" FM212639 NC_012213 Revised
HPV109 Gammapapillomavirus_7 HPV109REF "Ekstrom_et_al._2010" EU541441 NC_012485 
HPV110 Betapapillomavirus_2 HPV110REF "Vasiljevic_et_al._2008" EU410348  
HPV111 Betapapillomavirus_2 HPV111REF "Vasiljevic_et_al._2008" EU410349  Revised
HPV112 Gammapapillomavirus_8 HPV112REF "Ekstrom_et_al._2010" EU541442 NC_012486 
HPV113 Betapapillomavirus_2 HPV113REF "de_Villiers_et_al._2009" FM955842  
HPV114 Alphapapillomavirus_3 HPV114REF "Ekstrom_et_al._2010" GQ244463  Revised
HPV115 Betapapillomavirus_3 HPV115REF "Chouhy_et_al._2010" FJ947080  
HPV116 Gammapapillomavirus_9 HPV116REF "Li_et_al._2009" FJ804072 NC_013035 
HPV117 Alphapapillomavirus_2 HPV117REF "Kohler_et_al._2010" GQ246950  
HPV118 Betapapillomavirus_1 HPV118REF "Bernard_et_al._2010" GQ246951  
HPV119 Gammapapillomavirus_8 HPV119REF "Bernard_et_al._2010" GQ845441  
HPV120 Betapapillomavirus_2 HPV120REF "Bernard_et_al._2010" GQ845442  
HPV121 Gammapapillomavirus_10 HPV121REF "Bernard_et_al._2010" GQ845443 NC_014185 
HPV122 Betapapillomavirus_2 HPV122REF "Bernard_et_al._2010" GQ845444  
HPV123 Gammapapillomavirus_7 HPV123REF "Bernard_et_al._2010" GQ845445  
HPV124 Betapapillomavirus_1 HPV124REF "Bernard_et_al._2010" GQ845446  
HPV125 Alphapapillomavirus_2 HPV125REF "Kovanda_et_al._2011" FN547152  
HPV126 Gammapapillomavirus_11 HPV126REF "Egawa_et_al._pres" AB646346 NC_016157 
HPV127 Gammapapillomavirus_12 HPV127REF "Schowalter_et_al._2010" HM011570 NC_014469 
HPV128 Gammapapillomavirus_13 HPV128REF "Koehler_et_al._Unpublished" GU225708 NC_014952 
HPV129 Gammapapillomavirus_9 HPV129REF "Koehler_et_al._Unpublished" GU233853 NC_014953 
HPV130 Gammapapillomavirus_10 HPV130REF "Koehler_et_al._Unpublished" GU117630  
HPV131 Gammapapillomavirus_14 HPV131REF "Koehler_et_al._Unpublished" GU117631 NC_014954 
HPV132 Gammapapillomavirus_12 HPV132REF "Koehler_et_al._Unpublished" GU117632 NC_014955 
HPV133 Gammapapillomavirus_10 HPV133REF "Koehler_et_al._Unpublished" GU117633  
HPV134 Gammapapillomavirus_7 HPV134REF "Koehler_et_al._Unpublished" GU117634 NC_014956 
HPV135 Gammapapillomavirus_15 HPV135REF "Bottalico_et_al._2011" HM999987 NC_017993 
HPV136 Gammapapillomavirus_11 HPV136REF "Bottalico_et_al._2011" HM999988 NC_017994 
HPV137 Gammapapillomavirus_16 HPV137REF "Bottalico_et_al._2011" HM999989 NC_017995 
HPV138 Gammapapillomavirus_7 HPV138REF "Chen_et_al._Unpublished" HM999990  
HPV139 Gammapapillomavirus_7 HPV139REF "Chen_et_al._Unpublished" HM999991  
HPV140 Gammapapillomavirus_11 HPV140REF "Bottalico_et_al._2011" HM999992 NC_017996 
HPV141 Gammapapillomavirus_11 HPV141REF "Bottalico_et_al._2011" HM999993  
HPV142 Gammapapillomavirus_10 HPV142REF "Chen_et_al._Unpublished" HM999994  
HPV143 Betapapillomavirus_1 HPV143REF "Bottalico_et_al._2011" HM999995  
HPV144 Gammapapillomavirus_17 HPV144REF "Bottalico_et_al._2011" HM999996 NC_017997 
HPV145 Betapapillomavirus_2 HPV145REF "Bottalico_et_al._2011" HM999997  
HPV146 Gammapapillomavirus_15 HPV146REF "Chen_et_al._Unpublished" HM999998  
HPV147 Gammapapillomavirus_8 HPV147REF "Chen_et_al._Unpublished" HM999999  
HPV148 Gammapapillomavirus_12 HPV148REF "Koehler_et_al._Unpublished" GU129016  
HPV149 Gammapapillomavirus_7 HPV149REF "Koehler_et_al._Unpublished" GU117629  
HPV150 Betapapillomavirus_5 HPV150REF "Kocjan_et_al._2005" FN677755  
HPV151 Betapapillomavirus_2 HPV151REF "Kocjan_et_al._2005" FN677756  
HPV152 Betapapillomavirus_1 HPV152REF "Chen_et_al._Unpublished" JF304768  
HPV153 Gammapapillomavirus_13 HPV153REF "Sturegard_et_al._Unpublished" JN171845  
HPV154 Gammapapillomavirus HPV154REF "Ure_and_Forslund_Unpublished" JN211193 NC_021483 classification_pending_approval_by_ICTV
HPV155 Gammapapillomavirus_7 HPV155REF "Ekstrom_et_al._2011" JF906559  
HPV156 Gammapapillomavirus_18 HPV156REF "Chouhy_et_al._2013" JX429973  
HPV157 Gammapapillomavirus     
HPV158 Gammapapillomavirus     
HPV159 Betapapillomavirus_2 HPV159REF "Kocjan_et_al._2013" HE963025  
HPV160 Alphapapillomavirus HPV160REF "Mitsuishi_et_al._Unpublished" AB745694  classification_pending_approval_by_ICTV
HPV161 Gammapapillomavirus_19 HPV161REF "Li_et_al._2012" JX413109  
HPV162 Gammapapillomavirus_19 HPV162REF "Li_et_al._2012" JX413108  
HPV163 Gammapapillomavirus_20 HPV163REF "Li_et_al._2012" JX413107  
HPV164 Gammapapillomavirus_8 HPV164REF "Li_et_al._2012" JX413106  
HPV165 Gammapapillomavirus_12 HPV165REF "Li_et_al._2012" JX444072  
HPV166 Gammapapillomavirus_19 HPV166REF "Li_et_al._2012" JX413104 NC_019023 
HPV167 Gammapapillomavirus HPV167REF "Li_et_al._2013" KC862318 NC_022892 classification_pending_approval_by_ICTV
HPV168 Gammapapillomavirus HPV168REF "Li_et_al._2013" KC862317  classification_pending_approval_by_ICTV
HPV169 Gammapapillomavirus_11 HPV169REF "Li_et_al._2012" JX413105  
HPV170 Gammapapillomavirus_7 HPV170REF "Li_et_al._2012" JX413110  
HPV171 Gammapapillomavirus HPV171REF "Martin_et_al._2013" KF006398  classification_pending_approval_by_ICTV
HPV172 Gammapapillomavirus HPV172REF "Martin_et_al._2013" KF006399  classification_pending_approval_by_ICTV
HPV173 Gammapapillomavirus HPV173REF "Martin_et_al._2013" KF006400  classification_pending_approval_by_ICTV
HPV174 Betapapillomavirus HPV174REF "Kocjan_et_al._2013" HF930491  classification_pending_approval_by_ICTV
HPV175 Gammapapillomavirus HPV175REF "Johansson_et_al._2013" KC108721  classification_pending_approval_by_ICTV
HPV176 Gammapapillomavirus     
HPV177 Alphapapillomavirus     
HPV178 Gammapapillomavirus HPV178REF "Johansson_and_Forslund_2014" KJ130020 NC_023891 classification_pending_approval_by_ICTV
HPV179 Gammapapillomavirus HPV179REF "Kocjan_et_al._Unpublished" HG421739 NC_022095 classification_pending_approval_by_ICTV
HPV180 Gammapapillomavirus HPV180REF "Johansson_et_al._2013" KC108722  classification_pending_approval_by_ICTV
HPV181 Gammapapillomavirus     
HPV182 Betapapillomavirus     
HPV183 Gammapapillomavirus     
HPV184 Gammapapillomavirus HPV184REF "Kocjan_et_al._Unpublished" HG530535  classification_pending_approval_by_ICTV
HPV185 Betapapillomavirus     
HPV186 Gammapapillomavirus     
HPV187 Gammapapillomavirus     
HPV188 Gammapapillomavirus     
HPV189 Gammapapillomavirus     
HPV190 Gammapapillomavirus     
HPV191 Gammapapillomavirus     
HPV192 Gammapapillomavirus     
HPV193 Gammapapillomavirus     
HPV194 Gammapapillomavirus     
HPV195 Betapapillomavirus     
HPV196 Betapapillomavirus     
HPV197 Gammapapillomavirus HPV197REF "Arroyo_et_al._Unpublished" KM085343  classification_pending_approval_by_ICTV
HPV198 Betapapillomavirus     
HPV199 Gammapapillomavirus HPV199REF "Ostrbenk_et_al._Unpublished" KJ913662  classification_pending_approval_by_ICTV
HPV200 Gammapapillomavirus HPV200REF "Arroyo_et_al._Unpublished" KP692114  classification_pending_approval_by_ICTV
HPV201 Gammapapillomavirus HPV201REF "Arroyo_et_al._Unpublished" KP692115 NC_027528 classification_pending_approval_by_ICTV
HPV202 Gammapapillomavirus HPV202REF "Arroyo_et_al._Unpublished" KP692116  classification_pending_approval_by_ICTV
HPV203 Gammapapillomavirus     
HPV204 Mupapillomavirus HPV204REF "Hosnjak_et_al._Unpublished" KP769769  classification_pending_approval_by_ICTV
HPV205 Gammapapillomavirus     
HPV-mCG2 Gammapapillomavirus HPV-mCG2nr "Sauvage_et_al._Unpublished" JF966378  Pending_classification_by_the_Reference_center
HPV-mCG3 Gammapapillomavirus HPV-mCG3nr "Sauvage_et_al._Unpublished" JF966379  Pending_classification_by_the_Reference_center
HPV-mCH2 Gammapapillomavirus HPV-mCH2nr "Yu_et_al._Unpublished" KF791917  Pending_classification_by_the_Reference_center
HPV-mFA75/KI88-03 Betapapillomavirus HPV-mFA75/KI88-03nr "Vasiljevic_et_al._2008" EU410347  Pending_classification_by_the_Reference_center
